"Date-Time","Call-Incident Type","Incident No.","Full Address"
"10/13/2014 00:18:40","1194","2014-00060895","SAN PABLO AVE/ASHBY AVE"
"10/13/2014 00:21:03","T","2014-00060896","ADELINE ST/OREGON ST"
"10/13/2014 00:30:08","415E","2014-00060899","1900 BLOCK DELAWARE ST"
"10/13/2014 00:42:47","1196","2014-00060897","BAY ST/POTTER ST"
"10/13/2014 00:47:01","T","2014-00060898","1600 BLOCK TYLER ST"
"10/13/2014 01:13:44","SUSPER","2014-00060901","2200 BLOCK HASTE ST"
"10/13/2014 01:14:58","1194","2014-00060900","1900 BLOCK DELAWARE ST"
"10/13/2014 01:15:15","FOUND","2014-00060913","ASHBY AVE/CLAREMONT AVE"
"10/13/2014 01:16:33","LDRPT","2014-00060902","DWIGHT WAY/SACRAMENTO ST"
"10/13/2014 01:19:30","SUSCIR","2014-00060903","1600 BLOCK SAN PABLO AVE"
"10/13/2014 01:20:14","SUSCIR","2014-00060904","2100 BLOCK SACRAMENTO ST"
"10/13/2014 01:29:21","415E","2014-00060910","1900 BLOCK M L KING JR WAY"
"10/13/2014 01:39:26","PRKVIO","2014-00060912","1800 BLOCK SACRAMENTO ST"
"10/13/2014 01:39:57","459A","2014-00060905","FIFTH ST/VIRGINIA ST"
"10/13/2014 01:47:58","1033A","2014-00060909","2100 BLOCK SAN PABLO AVE"
"10/13/2014 01:51:45","415","2014-00060908","2400 BLOCK ASHBY AVE"
"10/13/2014 02:07:34","SEC","2014-00060906","CAMELIA ST/NINTH ST"
"10/13/2014 02:07:51","415","2014-00060907","2900 BLOCK SACRAMENTO ST"
"10/13/2014 03:24:09","1042","2014-00060911","2400 BLOCK ASHBY AVE"
"10/13/2014 04:10:39","1033A","2014-00060914","1500 BLOCK UNIVERSITY AVE"
"10/13/2014 04:11:11","602L","2014-00060916","2400 BLOCK ASHBY AVE"
"10/13/2014 04:16:42","415","2014-00060918","2100 BLOCK M L KING JR WAY"
"10/13/2014 04:19:47","SUSPER","2014-00060915","POSEN AVE/COLUSA AVE"
"10/13/2014 04:30:51","1042","2014-00060917","2200 BLOCK DWIGHT WAY"
"10/13/2014 04:41:45","SUSPER","2014-00060919","MARIN AVE/THE CIRCLE "
"10/13/2014 04:56:35","SUSVEH","2014-00060921","1500 BLOCK OREGON ST"
"10/13/2014 04:59:21","415","2014-00060920","2000 BLOCK ALLSTON WAY"
"10/13/2014 05:34:47","602L","2014-00060922","2000 BLOCK BANCROFT WAY"
"10/13/2014 06:38:51","602L","2014-00060923","2200 BLOCK FULTON ST"
"10/13/2014 07:14:12","415","2014-00060925","2700 BLOCK MCGEE AVE"
"10/13/2014 07:14:30","SEC","2014-00060924","1100 BLOCK SAN PABLO AVE"
"10/13/2014 07:21:33","1124","2014-00060926","1500 BLOCK EDITH ST"
"10/13/2014 07:28:20","SEC","2014-00060927","1900 BLOCK CENTER ST"
"10/13/2014 07:33:33","SEC","2014-00060928","SACRAMENTO ST/ASHBY AVE"
"10/13/2014 07:37:36","415","2014-00060929","2400 BLOCK TELEGRAPH AVE"
"10/13/2014 07:39:08","23103","2014-00060930","SHATTUCK AVE/VIRGINIA ST"
"10/13/2014 07:53:55","602L","2014-00060933","2400 BLOCK BANCROFT WAY"
"10/13/2014 08:01:01","T","2014-00060932","CHANNING WAY/SAN PABLO AVE"
"10/13/2014 08:09:35","T","2014-00060934","CHANNING WAY/SAN PABLO AVE"
"10/13/2014 08:17:50","SEC","2014-00060936","1900 BLOCK CENTER ST"
"10/13/2014 08:20:55","647J","2014-00060937","2000 BLOCK ADDISON ST"
"10/13/2014 08:42:52","23103","2014-00060938","RIDGE RD/LA LOMA AVE"
"10/13/2014 08:57:11","602L","2014-00060939","2000 BLOCK UNIVERSITY AVE"
"10/13/2014 09:07:38","PRKVIO","2014-00060942","2400 BLOCK ASHBY AVE"
"10/13/2014 09:08:41","1124","2014-00060940","2200 BLOCK BROWNING ST"
"10/13/2014 09:18:02","FLAG","2014-00060941","2500 BLOCK DURANT AVE"
"10/13/2014 09:26:45","1124","2014-00060944","100 BLOCK SEAWALL DR"
"10/13/2014 09:28:49","415","2014-00060943","M L KING JR WAY/RUSSELL ST"
"10/13/2014 09:32:26","484","2014-00060945","HASTE ST/SHATTUCK AVE"
"10/13/2014 09:39:25","ILLDMP",,"900 BLOCK CHANNING WAY"
"10/13/2014 09:49:03","PRKVIO","2014-00060947","1800 BLOCK BERRYMAN ST"
"10/13/2014 09:49:40","W911","2014-00060946","2800 BLOCK SACRAMENTO ST"
"10/13/2014 09:52:51","1033A","2014-00060953","400 BLOCK CRAGMONT AVE"
"10/13/2014 09:55:12","1042","2014-00060948","2100 BLOCK SHATTUCK AVE"
"10/13/2014 09:56:01","602L","2014-00060949","1700 BLOCK FIFTH ST"
"10/13/2014 10:01:40","5150","2014-00060950","M L KING JR WAY/RUSSELL ST"
"10/13/2014 10:04:25","594","2014-00060954","2200 BLOCK TENTH ST"
"10/13/2014 10:10:37","459","2014-00060959","1000 BLOCK MARIPOSA AVE"
"10/13/2014 10:11:37","SUSVEH","2014-00060951","HARRISON ST/SAN PABLO AVE"
"10/13/2014 10:13:24","5150","2014-00060952","3200 BLOCK ELLIS ST"
"10/13/2014 10:20:12","484","2014-00060960","3000 BLOCK CALIFORNIA ST"
"10/13/2014 10:39:07","484","2014-00060956","1400 BLOCK BERKELEY WAY"
"10/13/2014 10:39:11","SUSPER","2014-00060955","2900 BLOCK CLAREMONT AVE"
"10/13/2014 10:51:00","ADVICE","2014-00060957","1200 BLOCK CARLOTTA AVE"
"10/13/2014 11:15:06","242","2014-00060958","2100 BLOCK CENTER ST"
"10/13/2014 11:35:11","487","2014-00060961","2000 BLOCK SAN PABLO AVE"
"10/13/2014 11:37:16","PRKVIO","2014-00060962","800 BLOCK DELAWARE ST"
"10/13/2014 11:47:29","SUSCIR","2014-00060963","1600 BLOCK DWIGHT WAY"
"10/13/2014 11:51:21","PRKVIO","2014-00060978","700 BLOCK CRAGMONT AVE"
