"Date-Time","Call-Incident Type","Incident No.","Full Address"
"10/10/2014 00:03:02","SEC","2014-00060252"," / "
"10/10/2014 00:13:25","415","2014-00060254","1900 BLOCK CURTIS ST"
"10/10/2014 00:14:18","SEC","2014-00060253","SEAWALL DR/UNIVERSITY AVE"
"10/10/2014 00:18:25","415","2014-00060257","1800 BLOCK TENTH ST"
"10/10/2014 00:18:54","T","2014-00060255","SHATTUCK AVE/ESSEX ST"
"10/10/2014 00:22:02","FLAG","2014-00060256","ASHBY AVE/SHATTUCK AVE"
"10/10/2014 00:24:10","470","2014-00060258","2000 BLOCK ALLSTON WAY"
"10/10/2014 00:26:33","602L","2014-00060259","2100 BLOCK ALLSTON WAY"
"10/10/2014 00:28:32","484","2014-00060261","2300 BLOCK SHATTUCK AVE"
"10/10/2014 00:33:02","415E","2014-00060260","BANCROFT WAY/TELEGRAPH AVE"
"10/10/2014 01:13:52","602L","2014-00060263","2400 BLOCK DOWLING PL"
"10/10/2014 01:16:14","SEC","2014-00060262","2300 BLOCK PRINCE ST"
"10/10/2014 01:26:34","SEC","2014-00060264","SANTA RITA JAIL / "
"10/10/2014 01:29:36","415","2014-00060265","2400 BLOCK DURANT AVE"
"10/10/2014 01:50:15","647F","2014-00060266","1900 BLOCK HASTE ST"
"10/10/2014 02:04:58","1033A","2014-00060267","700 BLOCK POTTER ST"
"10/10/2014 02:27:00","1183","2014-00060268","HARMON ST/ADELINE ST"
"10/10/2014 02:34:05","OUTAID","2014-00060269","2400 BLOCK MCKINLEY AVE"
"10/10/2014 02:38:55","1042",,"2400 BLOCK WOOLSEY ST"
"10/10/2014 02:55:19","415","2014-00060270","HILLEGASS AVE/STUART ST"
"10/10/2014 03:08:06","SUSCIR","2014-00060271","2400 BLOCK STUART ST"
"10/10/2014 03:30:18","1033A","2014-00060272","2700 BLOCK ACTON ST"
"10/10/2014 03:49:06","SUSPER","2014-00060273","1100 BLOCK LAUREL ST"
"10/10/2014 04:29:45","5150","2014-00060274","2200 BLOCK OREGON ST"
"10/10/2014 04:39:41","W911",,"9TH & HEINZ AV / "
"10/10/2014 06:44:55","242","2014-00060275","1900 BLOCK SHATTUCK AVE"
"10/10/2014 06:57:12","1124","2014-00060276","1000 BLOCK MARIPOSA AVE"
