"Date-Time","Call-Incident Type","Incident No.","Full Address"
"10/04/2014 00:00:39","HOT","2014-00058915","KING ST/RUSSELL ST"
"10/04/2014 00:11:04","SUSCIR","2014-00058916","2000 BLOCK DWIGHT WAY"
"10/04/2014 00:20:25","415","2014-00058918","1900 BLOCK SHATTUCK AVE"
"10/04/2014 00:25:11","A911","2014-00058919","2000 BLOCK ALLSTON WAY"
"10/04/2014 00:33:06","245","2014-00058921","2500 BLOCK DURANT AVE"
"10/04/2014 00:33:06","245","2014-00058917","2500 BLOCK DURANT AVE"
"10/04/2014 00:36:37","415E","2014-00058966","1300 BLOCK EIGHTH ST"
"10/04/2014 00:46:02","415E","2014-00058929","2600 BLOCK BENVENUE AVE"
"10/04/2014 00:56:27","415E","2014-00058930"," / "
"10/04/2014 00:58:09","1033A","2014-00058922","1800 BLOCK EUCLID AVE"
"10/04/2014 01:01:37","SUSCIR","2014-00058920","1300 BLOCK ASHBY AVE"
"10/04/2014 01:09:15","415","2014-00058924","CHANNING WAY/COLLEGE AVE"
"10/04/2014 01:17:50","415E","2014-00058947","2200 BLOCK BLAKE ST"
"10/04/2014 01:23:32","FLAG","2014-00058923","VIRGINIA ST/SCENIC AVE"
"10/04/2014 01:33:33","T","2014-00058926","UNIVERSITY AVE/TENTH ST"
"10/04/2014 01:34:17","415E","2014-00058940","1600 BLOCK WALNUT ST"
"10/04/2014 01:35:59","LDRPT","2014-00058927","3200 BLOCK IDAHO ST"
"10/04/2014 01:39:56","1198","2014-00058928","DANA ST/DWIGHT WAY"
"10/04/2014 01:48:29","415E","2014-00058944","2500 BLOCK DURANT AVE"
"10/04/2014 02:06:39","1194","2014-00058931","2100 BLOCK KITTREDGE ST"
"10/04/2014 02:07:36","SEC","2014-00058932","OREGON ST/SACRAMENTO ST"
"10/04/2014 02:07:47","594","2014-00058933","1000 BLOCK MURRAY ST"
"10/04/2014 02:08:35","415E","2014-00058938","ELLSWORTH ST/HASTE ST"
"10/04/2014 02:12:56","415F","2014-00058934","2000 BLOCK M L KING JR WAY"
"10/04/2014 02:15:45","1091B","2014-00058943","1200 BLOCK CARRISON ST"
"10/04/2014 02:16:05","415","2014-00058935","2300 BLOCK NINTH ST"
"10/04/2014 02:19:05","415E","2014-00058957","2400 BLOCK VALLEY ST"
"10/04/2014 02:28:33","1194","2014-00058936","1700 BLOCK FOURTH ST"
"10/04/2014 02:28:33","415E","2014-00058945","2400 BLOCK WARRING ST"
"10/04/2014 02:37:45","AID","2014-00058939","2700 BLOCK BANCROFT WAY"
"10/04/2014 02:44:43","SEC","2014-00058941","FOURTH ST/HEARST AVE"
"10/04/2014 02:46:38","DRUGS","2014-00058956","2300 BLOCK NINTH ST"
"10/04/2014 02:59:24","1196","2014-00058946","WARD ST/SAN PABLO AVE"
"10/04/2014 03:06:19","SUSCIR","2014-00058948","3100 BLOCK LEWISTON AVE"
"10/04/2014 03:23:22","5150","2014-00058949","1500 BLOCK UNIVERSITY AVE"
"10/04/2014 03:23:44","459A","2014-00058950","3000 BLOCK HILLEGASS AVE"
"10/04/2014 03:32:42","415","2014-00058954","2300 BLOCK ELLSWORTH ST"
"10/04/2014 03:32:42","415","2014-00058952","2300 BLOCK ELLSWORTH ST"
"10/04/2014 03:38:35","1194B","2014-00058951","ASHBY AVE/COLLEGE AVE"
"10/04/2014 03:46:17","1194","2014-00058953","ALLSTON WAY/SACRAMENTO ST"
"10/04/2014 03:55:15","1194","2014-00058955","2500 BLOCK HASTE ST"
"10/04/2014 04:04:23","SUSCIR","2014-00058959","2000 BLOCK KITTREDGE ST"
"10/04/2014 04:06:42","1196","2014-00058958","BOLIVAR DR/BANCROFT WAY"
"10/04/2014 04:27:13","1194B","2014-00058960","SHATTUCK AVE/ALLSTON WAY"
"10/04/2014 04:39:59","SEC","2014-00058961","2100 BLOCK MILVIA ST"
"10/04/2014 04:42:34","1194","2014-00058962","KITTREDGE AVE/FULTON / "
"10/04/2014 04:42:48","1194","2014-00058963","KITTREDGE ST/FULTON ST"
"10/04/2014 04:45:02","242","2014-00058969","2400 BLOCK ASHBY AVE"
"10/04/2014 04:45:46","1042","2014-00058967","2300 BLOCK CARLETON ST"
"10/04/2014 05:00:02","SUSPER","2014-00058964","700 BLOCK CRAGMONT AVE"
"10/04/2014 05:03:28","1033A","2014-00058965","BLAKE ST/MILVIA ST"
"10/04/2014 05:51:19","1042","2014-00058968","100 BLOCK OAKVALE AVE"
"10/04/2014 06:06:24","SUSCIR","2014-00058970","2000 BLOCK KITTREDGE ST"
"10/04/2014 07:00:33","1033A","2014-00058971","1400 BLOCK ALLSTON WAY"
"10/04/2014 07:18:13","5150","2014-00058972","1100 BLOCK SPRUCE ST"
"10/04/2014 07:45:07","ANIMAL",,"2500 BLOCK ETNA ST"
"10/04/2014 08:07:54","459","2014-00058973","2600 BLOCK TELEGRAPH AVE"
"10/04/2014 08:17:51","SUSPER","2014-00058974","1400 BLOCK FOURTH ST"
"10/04/2014 08:19:12","1057","2014-00058975","2100 BLOCK ACTON ST"
"10/04/2014 08:28:15","PRKVIO","2014-00058976","1000 BLOCK FOLGER AVE"
"10/04/2014 08:55:17","415","2014-00058979","2000 BLOCK SAN PABLO AVE"
"10/04/2014 09:00:42","T","2014-00058977","TELEGRAPH AVE/RUSSELL ST"
"10/04/2014 09:01:15","PRKVIO","2014-00058978","2100 BLOCK CURTIS ST"
"10/04/2014 09:02:59","415","2014-00058980","2200 BLOCK SHATTUCK AVE"
"10/04/2014 09:09:34","T","2014-00058981","SACRAMENTO ST/ASHBY AVE"
"10/04/2014 09:28:04","530 5","2014-00058983","2100 BLOCK ROOSEVELT AVE"
"10/04/2014 09:28:38","NEW",,"3300 BLOCK ADELINE "
"10/04/2014 09:28:58","459","2014-00058982","1800 BLOCK EUCLID AVE"
"10/04/2014 09:52:03","5150","2014-00058985","SECOND ST/JONES ST"
"10/04/2014 10:02:49","FLAG","2014-00058984","COLLEGE AVE/STUART ST"
"10/04/2014 10:06:51","FALL","2014-00058986","2000 BLOCK HEARST AVE"
"10/04/2014 10:09:45","10851","2014-00058987","2600 BLOCK BANCROFT WAY"
"10/04/2014 10:19:11","PRKVIO","2014-00058988","2900 BLOCK REGENT ST"
"10/04/2014 10:34:00","FLAG","2014-00058989","CHANNING WAY/SHATTUCK AVE"
"10/04/2014 10:37:42","SUSCIR","2014-00058990","1600 BLOCK SHATTUCK AVE"
"10/04/2014 10:43:58","459A","2014-00058991","200 BLOCK UNIVERSITY AVE"
"10/04/2014 10:44:34","PRKVIO","2014-00058995","2800 BLOCK GARBER ST"
"10/04/2014 10:45:56","PRKVIO","2014-00058996","SACRAMENTO ST/ROSE ST"
"10/04/2014 10:51:08","SEC","2014-00058992","2300 BLOCK SHATTUCK AVE"
"10/04/2014 10:51:44","602L","2014-00059001","800 BLOCK UNIVERSITY AVE"
"10/04/2014 10:55:15","459","2014-00058993","1000 BLOCK JONES ST"
"10/04/2014 11:07:46","1194","2014-00058994","DANA ST/BANCROFT WAY"
"10/04/2014 11:12:45","PRKVIO","2014-00058997","2600 BLOCK RIDGE RD"
"10/04/2014 11:14:20","5150","2014-00058999","2100 BLOCK SHATTUCK AVE"
"10/04/2014 11:15:07","1033A","2014-00058998","3100 BLOCK SHATTUCK AVE"
"10/04/2014 11:25:13","415","2014-00059004","1100 BLOCK SAN PABLO AVE"
"10/04/2014 11:30:34","SUSCIR","2014-00059000","900 BLOCK INDIAN ROCK AVE"
"10/04/2014 11:35:36","PRKVIO","2014-00059002","2800 BLOCK CHERRY ST"
"10/04/2014 11:36:09","ADVICE","2014-00059005","<UNKNOWN> / "
"10/04/2014 11:47:26","SEC","2014-00059003"," / "
"10/04/2014 11:50:25","459","2014-00059006","1600 BLOCK SHATTUCK AVE"
"10/04/2014 12:03:34","SUSCIR","2014-00059007","2100 BLOCK CEDAR ST"
"10/04/2014 12:04:43","484","2014-00059008","500 BLOCK THE ALAMEDA "
"10/04/2014 12:05:28","415","2014-00059009","1600 BLOCK HARMON ST"
"10/04/2014 12:05:47","PRKVIO",,"1100 BLOCK FIFTH ST"
"10/04/2014 12:15:15","PRKVIO","2014-00059014","2700 BLOCK GARBER ST"
"10/04/2014 12:25:20","OUTAID","2014-00059010","2400 BLOCK MCGEE AVE"
"10/04/2014 12:29:49","415","2014-00059011","2300 BLOCK TELEGRAPH AVE"
"10/04/2014 12:31:20","PRKVIO",,"2000 BLOCK BERKELEY WAY"
"10/04/2014 12:34:25","FLAG","2014-00059012","2100 BLOCK M L KING JR WAY"
"10/04/2014 12:35:11","FLAG","2014-00059013","PARKER ST/TELEGRAPH AVE"
"10/04/2014 12:38:33","415F","2014-00059015","1800 BLOCK FIFTH ST"
"10/04/2014 12:47:01","W911","2014-00059017"," / "
"10/04/2014 12:47:30","1057","2014-00059044","1900 BLOCK CENTER ST"
"10/04/2014 12:47:58","1033A","2014-00059016","1200 BLOCK SIXTY-FIFTH ST"
"10/04/2014 12:53:37","PRKVIO","2014-00059021","2400 BLOCK ELLSWORTH ST"
"10/04/2014 12:59:25","415","2014-00059018","1900 BLOCK SAN PABLO AVE"
"10/04/2014 13:00:09","459A","2014-00059033","400 BLOCK GILMAN ST"
"10/04/2014 13:00:15","415E","2014-00059029","2100 BLOCK SHATTUCK AVE"
"10/04/2014 13:05:41","415","2014-00059040","900 BLOCK CRAGMONT AVE"
"10/04/2014 13:08:23","1181","2014-00059019","3200 BLOCK SHATTUCK AVE"
"10/04/2014 13:11:08","415","2014-00059026","2100 BLOCK CEDAR ST"
"10/04/2014 13:11:49","1042","2014-00059025","CENTER ST/OXFORD ST"
"10/04/2014 13:13:27","415E","2014-00059020","1300 BLOCK HARMON ST"
"10/04/2014 13:30:17","415","2014-00059022","2500 BLOCK SAN PABLO AVE"
"10/04/2014 13:41:07","415","2014-00059024","2300 BLOCK EIGHTH ST"
"10/04/2014 13:42:06","242","2014-00059023","SHATTUCK AVE/CENTER ST"
"10/04/2014 13:47:02","PRKVIO",,"1300 BLOCK NINTH ST"
"10/04/2014 13:49:41","1042","2014-00059027","WEST ST/ALLSTON WAY"
"10/04/2014 13:53:52","TRFHAZ","2014-00059028","CALIFORNIA ST/ASHBY AVE"
"10/04/2014 14:07:39","SUSPER","2014-00059038","2100 BLOCK SHATTUCK AVE"
"10/04/2014 14:11:36","10851","2014-00059030","3200 BLOCK SHATTUCK AVE"
"10/04/2014 14:16:22","1033A","2014-00059034","3000 BLOCK DANA ST"
"10/04/2014 14:17:13","T","2014-00059031","CANNING ST/59TH ST"
"10/04/2014 14:21:36","SEC","2014-00059032","2100 BLOCK SHATTUCK AVE"
"10/04/2014 14:23:57","484","2014-00059046","BANCROFT WAY/TELEGRAPH AVE"
"10/04/2014 14:39:03","415E","2014-00059051","1500 BLOCK MILVIA ST"
"10/04/2014 14:41:06","OUTAID","2014-00059039","2400 BLOCK ASHBY AVE"
"10/04/2014 14:43:09","1042","2014-00059035","FAIRVIEW ST/KING ST"
"10/04/2014 14:53:30","T","2014-00059036","ELLSWORTH ST/BLAKE ST"
"10/04/2014 14:54:48","FLAG","2014-00059037","TELEGRAPH AVE/CHANNING WAY"
"10/04/2014 15:25:01","AID","2014-00059041","W FRONTAGE RD/UNIVERSITY AVE"
"10/04/2014 15:28:21","1194","2014-00059042","SIXTY-THIRD ST/KING ST"
"10/04/2014 15:29:09","1033A","2014-00059043","3000 BLOCK BUENA VISTA WAY"
"10/04/2014 15:41:51","415E","2014-00059056","1600 BLOCK SHATTUCK AVE"
"10/04/2014 15:43:20","T","2014-00059045","ELLIS ST/HARMON ST"
"10/04/2014 15:45:58","ADVICE","2014-00059096","900 BLOCK ALLSTON WAY"
"10/04/2014 15:49:18","T","2014-00059047","EUNICE ST/SPRUCE ST"
"10/04/2014 15:53:47","FLAG","2014-00059048","CALIFORNIA ST/SIXTY-THIRD ST"
"10/04/2014 15:54:34","459A","2014-00059057","200 BLOCK UNIVERSITY AVE"
"10/04/2014 15:57:56","FOUND","2014-00059049","SIXTY-THIRD ST/BAKER ST"
"10/04/2014 15:58:20","PRKVIO","2014-00059050","2500 BLOCK DURANT AVE"
"10/04/2014 15:58:40","20002","2014-00059066","GILMAN ST/SAN PABLO AVE"
"10/04/2014 16:07:31","SUSVEH","2014-00059052","1800 BLOCK CHESTNUT ST"
"10/04/2014 16:10:27","1042","2014-00059053","2600 BLOCK BENVENUE AVE"
"10/04/2014 16:22:05","415","2014-00059055","1800 BLOCK SAN JUAN AVE"
"10/04/2014 16:26:39","1033A","2014-00059054","3000 BLOCK HILLEGASS AVE"
"10/04/2014 16:56:20","5150","2014-00059062","2000 BLOCK DWIGHT WAY"
"10/04/2014 16:58:59","AID","2014-00059061","1500 BLOCK SAN PABLO AVE"
"10/04/2014 16:59:24","1181","2014-00059058","M L KING JR WAY/ADDISON ST"
"10/04/2014 17:00:05","OUTAID","2014-00059065","2100 BLOCK SEVENTH ST"
"10/04/2014 17:00:32","PRKVIO","2014-00059090","1800 BLOCK WALNUT ST"
"10/04/2014 17:03:27","FLAG","2014-00059059"," / "
"10/04/2014 17:03:45","SUSPER","2014-00059060","SACRAMENTO ST/DERBY ST"
"10/04/2014 17:17:48","415","2014-00059063","1700 BLOCK SAN PABLO AVE"
"10/04/2014 17:20:16","1033A","2014-00059075","100 BLOCK AJAX PL"
"10/04/2014 17:22:51","415","2014-00059064","400 BLOCK SOMERSET PL"
"10/04/2014 17:28:56","W911",,"1700 BLOCK SOLANO AVE"
"10/04/2014 17:32:08","PRKVIO","2014-00059071","BERKELEY WAY/CHESTNUT ST"
"10/04/2014 17:37:53","SEC","2014-00059067"," / "
"10/04/2014 17:51:55","415","2014-00059078","SHATTUCK AVE/CENTER ST"
"10/04/2014 17:58:39","1194","2014-00059068","SACRAMENTO ST/ASHBY AVE"
"10/04/2014 17:59:56","A911","2014-00059091","2400 BLOCK SHATTUCK AVE"
"10/04/2014 18:00:40","AID","2014-00059069","2100 BLOCK CHANNING WAY"
"10/04/2014 18:05:38","415F","2014-00059072","1700 BLOCK DERBY ST"
"10/04/2014 18:08:45","1033A","2014-00059073","1800 BLOCK FOURTH ST"
"10/04/2014 18:13:01","TROV","2014-00059077","1400 BLOCK TENTH ST"
"10/04/2014 18:14:08","1033A","2014-00059087","300 BLOCK VICENTE RD"
"10/04/2014 18:14:12","415","2014-00059093","SHATTUCK AVE/DWIGHT WAY"
"10/04/2014 18:26:00","1181","2014-00059074","TELEGRAPH AVE/PARKER ST"
"10/04/2014 18:27:43","602L","2014-00059079","1800 BLOCK UNIVERSITY AVE"
