"Date-Time","Call-Incident Type","Incident No.","Full Address"
"07/13/2014 00:00:17","1033A","2014-00040729","1200 BLOCK SAN PABLO AVE"
"07/13/2014 00:11:56","415E","2014-00040741","2500 BLOCK DANA ST"
"07/13/2014 00:12:09","415E","2014-00040734","2900 BLOCK ADELINE ST"
"07/13/2014 00:12:52","1042","2014-00040732","DANA ST/CHANNING WAY"
"07/13/2014 00:15:17","415","2014-00040733","2100 BLOCK SPAULDING AVE"
"07/13/2014 00:28:52","415","2014-00040737","1900 BLOCK ASHBY AVE"
"07/13/2014 00:30:35","T","2014-00040735","UNIVERSITY AVE/MILVIA ST"
"07/13/2014 00:32:38","T","2014-00040736","ADELINE ST/ESSEX ST"
"07/13/2014 00:38:07","T","2014-00040738","SHATTUCK AVE/CENTER ST"
"07/13/2014 00:39:52","1194","2014-00040739","FIFTH ST/HEARST AVE"
"07/13/2014 00:40:43","1196","2014-00040740","FOURTH ST/ALLSTON WAY"
"07/13/2014 00:43:19","SUSPER","2014-00040744","2300 BLOCK ACTON ST"
"07/13/2014 00:44:04","1194","2014-00040742","DURANT AVE/PIEDMONT AVE"
"07/13/2014 00:51:08","T","2014-00040743","DURANT AVE/BOWDITCH ST"
"07/13/2014 00:51:54","601","2014-00040765","2800 BLOCK EIGHTH ST"
"07/13/2014 00:55:39","1033A","2014-00040745","1700 BLOCK SOLANO AVE"
"07/13/2014 00:56:47","415E","2014-00040746","2100 BLOCK HASTE ST"
"07/13/2014 01:03:46","1194","2014-00040747","COLLEGE AVE/CHANNING WAY"
"07/13/2014 01:07:03","415E","2014-00040751","2100 BLOCK CHANNING WAY"
"07/13/2014 01:11:43","T","2014-00040748","2500 BLOCK DURANT AVE"
"07/13/2014 01:12:34","415E","2014-00040749","2100 BLOCK HASTE ST"
"07/13/2014 01:15:40","SEC","2014-00040750","SIXTH ST/UNIVERSITY AVE"
"07/13/2014 01:20:40","SEC","2014-00040752","900 BLOCK INDIAN ROCK AVE"
"07/13/2014 01:22:04","415E","2014-00040756","3200 BLOCK ELLIS ST"
"07/13/2014 01:22:54","SUSPER","2014-00040753","SEVENTH ST/ADDISON ST"
"07/13/2014 01:28:59","1194B","2014-00040754","SHATTUCK AVE/ALLSTON WAY"
"07/13/2014 01:32:32","SEC","2014-00040755","2300 BLOCK TELEGRAPH AVE"
