"Date-Time","Call-Incident Type","Incident No.","Full Address"
"07/20/2014 00:09:04","415E","2014-00042208","2500 BLOCK ELLSWORTH ST"
"07/20/2014 00:17:26","KNOCK","2014-00042205","2700 BLOCK WALLACE ST"
"07/20/2014 00:22:19","415","2014-00042206","2600 BLOCK REGENT ST"
"07/20/2014 00:38:40","T","2014-00042207","NINTH ST/ALLSTON WAY"
"07/20/2014 00:41:22","415E","2014-00042215","2200 BLOCK PARKER ST"
"07/20/2014 00:46:56","SUSCIR","2014-00042209","2100 BLOCK SPAULDING AVE"
"07/20/2014 00:47:54","PRKVIO",,"1800 BLOCK UNIVERSITY AVE"
"07/20/2014 00:49:06","415E","2014-00042210","2500 BLOCK RIDGE RD"
"07/20/2014 01:05:35","T","2014-00042211","EUCLID AVE/VIRGINIA ST"
"07/20/2014 01:06:05","415E","2014-00042225","2300 BLOCK ELLSWORTH ST"
"07/20/2014 01:07:01","T","2014-00042212","M L KING JR WAY/UNIVERSITY AVE"
"07/20/2014 01:11:14","415E","2014-00042214","SIXTY-SECOND ST/KING ST"
"07/20/2014 01:15:12","1194","2014-00042213","SIXTH ST/UNIVERSITY AVE"
"07/20/2014 01:24:33","415E","2014-00042222","2500 BLOCK DANA ST"
"07/20/2014 01:32:51","T","2014-00042217","TELEGRAPH AVE/WOOLSEY ST"
"07/20/2014 01:36:39","SEC","2014-00042218","DURANT AVE/TELEGRAPH AVE"
"07/20/2014 01:39:48","1194B","2014-00042219","ALLSTON WAY/TENTH ST"
"07/20/2014 01:42:21","415E","2014-00042220","DEAKIN ST/WEBSTER ST"
"07/20/2014 01:43:38","1033A","2014-00042221","2900 BLOCK RUSSELL ST"
"07/20/2014 01:52:57","415","2014-00042226","BANCROFT WAY/BOWDITCH ST"
"07/20/2014 01:53:07","1194","2014-00042223","SIXTH ST/UNIVERSITY AVE"
"07/20/2014 01:54:22","242","2014-00042224","2400 BLOCK DURANT AVE"
"07/20/2014 01:54:30","415E","2014-00042234","PRINCE ST/SHATTUCK AVE"
"07/20/2014 02:02:06","KNOCK","2014-00042227","2000 BLOCK FOURTH ST"
"07/20/2014 02:04:16","T","2014-00042228","BANCROFT WAY/FULTON ST"
"07/20/2014 02:08:29","LDRPT","2014-00042229","900 BLOCK INDIAN ROCK AVE"
"07/20/2014 02:09:29","415","2014-00042232","2000 BLOCK FOURTH ST"
"07/20/2014 02:10:15","SUSPER","2014-00042233","BANCROFT WAY/COLLEGE AVE"
"07/20/2014 02:10:18","T","2014-00042230","UNIVERSITY AVE/SIXTH ST"
"07/20/2014 02:10:50","T","2014-00042231","6/GRAYSON / "
"07/20/2014 02:18:57","T","2014-00042235","ADDISON ST/FIFTH ST"
"07/20/2014 02:21:18","1091B","2014-00042237","400 BLOCK NORTHAMPTON AVE"
"07/20/2014 02:26:22","SUSPER","2014-00042236","1600 BLOCK CHANNING WAY"
"07/20/2014 02:52:52","415E","2014-00042240","DANA ST/WEBSTER ST"
"07/20/2014 02:59:08","415","2014-00042239","2500 BLOCK BENVENUE AVE"
"07/20/2014 02:59:17","415","2014-00042238"," / "
"07/20/2014 03:29:40","415E","2014-00042242","2700 BLOCK MATHEWS ST"
"07/20/2014 03:30:55","KNOCK","2014-00042241","2900 BLOCK CALIFORNIA ST"
"07/20/2014 03:31:08","1033A","2014-00042243","2100 BLOCK RUSSELL ST"
"07/20/2014 03:57:44","415","2014-00042244","2100 BLOCK HASTE ST"
"07/20/2014 04:12:16","SUSPER","2014-00042245","1100 BLOCK SAN PABLO AVE"
"07/20/2014 07:06:13","ADVICE","2014-00042261","2900 BLOCK DOHR ST"
"07/20/2014 07:09:21","459A","2014-00042265","2900 BLOCK REGENT ST"
"07/20/2014 07:14:00","415F","2014-00042262","1800 BLOCK HEARST AVE"
"07/20/2014 07:16:05","5150","2014-00042263","2000 BLOCK HEARST AVE"
"07/20/2014 07:41:46","SEC","2014-00042264"," / "
"07/20/2014 07:53:22","PRKVIO","2014-00042266","1800 BLOCK SAN ANTONIO AVE"
"07/20/2014 08:35:15","415F","2014-00042267","3200 BLOCK CALIFORNIA ST"
"07/20/2014 09:33:09","AID","2014-00042268","400 BLOCK GILMAN ST"
"07/20/2014 09:39:16","T","2014-00042269","KITTREDGE ST/FULTON ST"
"07/20/2014 09:46:11","1194","2014-00042270","2100 BLOCK BANCROFT WAY"
"07/20/2014 09:55:07","459","2014-00042272","2000 BLOCK ALLSTON WAY"
"07/20/2014 10:00:45","602L","2014-00042271","2100 BLOCK CENTER ST"
"07/20/2014 10:14:23","415","2014-00042273","2300 BLOCK EIGHTH ST"
"07/20/2014 10:25:37","242","2014-00042276","2400 BLOCK DURANT AVE"
"07/20/2014 10:26:02","1033A","2014-00042275","2000 BLOCK FRANCISCO ST"
"07/20/2014 10:47:02","242","2014-00042277","CENTER ST/SHATTUCK AVE"
"07/20/2014 10:47:52","10851","2014-00042279","CEDAR ST/SPRUCE ST"
"07/20/2014 10:55:39","602L","2014-00042278","2500 BLOCK CHILTON WAY"
"07/20/2014 10:55:46","BMCVIO","2014-00042280","PAGE ST/SEVENTH ST"
"07/20/2014 11:09:52","484","2014-00042290","1000 BLOCK SIERRA ST"
"07/20/2014 11:14:06","1042","2014-00042282","1700 BLOCK HIGHLAND PL"
"07/20/2014 11:36:01","1033A","2014-00042281","1400 BLOCK SANTA FE AVE"
"07/20/2014 11:46:16","SUSCIR","2014-00042283","UNIVERSITY AVE/SAN PABLO AVE"
"07/20/2014 12:19:51","459A","2014-00042289","100 BLOCK SEAWALL DR"
"07/20/2014 12:22:07","SUSCIR","2014-00042286","FOURTH ST/UNIVERSITY AVE"
"07/20/2014 12:25:32","1033A","2014-00042288","2300 BLOCK EIGHTH ST"
"07/20/2014 12:26:26","T","2014-00042287","BLAKE ST/MILVIA ST"
"07/20/2014 12:30:24","5150","2014-00042294","3000 BLOCK TELEGRAPH AVE"
"07/20/2014 12:45:37","415","2014-00042296","2200 BLOCK SHATTUCK AVE"
"07/20/2014 12:51:34","1042","2014-00042295","SEVENTH ST/GRAYSON ST"
"07/20/2014 12:53:13","5150","2014-00042291","1100 BLOCK UNIVERSITY AVE"
"07/20/2014 12:56:18","ADVICE","2014-00042293","1600 BLOCK JOSEPHINE ST"
"07/20/2014 12:59:54","484","2014-00042292","2400 BLOCK SHATTUCK AVE"
"07/20/2014 13:14:49","AID","2014-00042298","2500 BLOCK HILLEGASS AVE"
"07/20/2014 13:16:43","A911","2014-00042297","2200 BLOCK SACRAMENTO ST"
"07/20/2014 13:17:42","484","2014-00042310","1900 BLOCK OXFORD ST"
"07/20/2014 13:18:13","1033A","2014-00042299","400 BLOCK NORTHAMPTON AVE"
"07/20/2014 13:29:10","SUSCIR","2014-00042300","ROOSEVELT AVE/ALLSTON WAY"
"07/20/2014 13:42:24","5150","2014-00042302","1500 BLOCK CHANNING WAY"
"07/20/2014 13:42:29","537","2014-00042316","2000 BLOCK UNIVERSITY AVE"
"07/20/2014 13:46:40","T","2014-00042301","2100 BLOCK BONAR ST"
"07/20/2014 14:00:59","A911","2014-00042303","2000 BLOCK ALLSTON WAY"
