"Date-Time","Call-Incident Type","Incident No.","Full Address"
"09/02/2014 00:06:37","ADVICE","2014-00051710","3000 BLOCK COLLEGE AVE"
"09/02/2014 00:29:07","594","2014-00051711","800 BLOCK UNIVERSITY AVE"
"09/02/2014 00:31:49","23103",,"1400 BLOCK ACTON ST"
"09/02/2014 00:33:54","1033A","2014-00051712","100 BLOCK BERKELEY SQ"
"09/02/2014 01:00:52","647J","2014-00051713","M L KING JR WAY/BERKELEY WAY"
"09/02/2014 01:21:00","415","2014-00051714","2100 BLOCK KITTREDGE ST"
"09/02/2014 01:21:14","415E","2014-00051715","2500 BLOCK HILLEGASS AVE"
"09/02/2014 01:24:06","AID","2014-00051716","2100 BLOCK M L KING JR WAY"
"09/02/2014 01:33:32","1033A",,"1500 BLOCK UNIVERSITY AVE"
"09/02/2014 01:35:02","T","2014-00051717","SHATTUCK AVE/DURANT AVE"
"09/02/2014 01:38:09","SEC","2014-00051718"," / "
"09/02/2014 01:43:10","SUSCIR","2014-00051720","3000 BLOCK SHATTUCK AVE"
"09/02/2014 02:22:12","1042","2014-00051722","SPINNAKER WAY/MARINA BLVD"
"09/02/2014 02:41:30","W911","2014-00051723","1200 BLOCK EASTSHORE HWY"
"09/02/2014 02:45:26","1042","2014-00051721","500 BLOCK CRAGMONT AVE"
"09/02/2014 04:51:08","5150","2014-00051724","1100 BLOCK UNIVERSITY AVE"
"09/02/2014 05:35:08","SEC","2014-00051725"," / "
"09/02/2014 05:36:21","602L","2014-00051726","2300 BLOCK CHANNING WAY"
"09/02/2014 06:18:15","415","2014-00051727","2500 BLOCK DWIGHT WAY"
"09/02/2014 06:26:31","415","2014-00051728","900 BLOCK INDIAN ROCK AVE"
"09/02/2014 06:50:59","1194","2014-00051729","BOWDITCH ST/HASTE ST"
"09/02/2014 06:58:20","1124","2014-00051730","BERKELEY WAY/SACRAMENTO ST"
"09/02/2014 07:17:45","PRKVIO","2014-00051731","3200 BLOCK CALIFORNIA ST"
"09/02/2014 07:39:51","484","2014-00051732","2400 BLOCK BANCROFT WAY"
"09/02/2014 07:48:36","602L","2014-00051733","2500 BLOCK REGENT ST"
"09/02/2014 07:53:58","459","2014-00051734","1700 BLOCK HARMON ST"
"09/02/2014 08:03:41","1033S","2014-00051736","3200 BLOCK SACRAMENTO ST"
"09/02/2014 08:03:52","415","2014-00051735","1800 BLOCK BERKELEY WAY"
"09/02/2014 08:19:24","FLAG","2014-00051737","ASHBY AVE/ACTON ST"
"09/02/2014 08:23:13","SEC","2014-00051738","200 BLOCK UNIVERSITY AVE"
"09/02/2014 08:29:27","415","2014-00051739","OXFORD ST/CEDAR ST"
"09/02/2014 08:37:00","415F","2014-00051740","2500 BLOCK DANA ST"
"09/02/2014 08:42:35","415","2014-00051741","2600 BLOCK M L KING JR WAY"
"09/02/2014 08:48:52","ADVICE","2014-00051742","1700 BLOCK SAN PABLO AVE"
"09/02/2014 08:53:07","415E","2014-00051747","1200 BLOCK HEARST AVE"
"09/02/2014 09:00:22","ADVICE","2014-00051745","UNIVERSITY AVE/EIGHTH ST"
"09/02/2014 09:03:54","FLAG","2014-00051743","UNIVERSITY AVE/6TH ST / "
"09/02/2014 09:04:28","10852","2014-00051752","3000 BLOCK CLAREMONT AVE"
"09/02/2014 09:06:26","1124","2014-00051744","2200 BLOCK GRANT ST"
"09/02/2014 09:13:02","415","2014-00051746","1900 BLOCK M L KING JR WAY"
"09/02/2014 09:20:03","647J","2014-00051748","3400 BLOCK ADELINE ST"
"09/02/2014 09:20:22","PRKVIO","2014-00051753","3000 BLOCK CLAREMONT AVE"
"09/02/2014 09:36:58","1124","2014-00051749","1600 BLOCK MCGEE AVE"
"09/02/2014 09:37:30","A911","2014-00051750","2400 BLOCK CURTIS ST"
"09/02/2014 09:38:43","BMCVIO","2014-00051751","1500 BLOCK HOPKINS ST"
"09/02/2014 10:03:48","1124","2014-00051754","900 BLOCK GRAYSON ST"
"09/02/2014 10:10:52","SUSCIR","2014-00051755","2400 BLOCK ASHBY AVE"
"09/02/2014 10:13:44","602L","2014-00051758","2600 BLOCK TELEGRAPH AVE"
"09/02/2014 10:18:26","FADEST","2014-00051757","2100 BLOCK M L KING JR WAY"
"09/02/2014 10:21:26","415","2014-00051780","2000 BLOCK WOOLSEY ST"
"09/02/2014 10:22:22","415","2014-00051771","2300 BLOCK TELEGRAPH AVE"
"09/02/2014 10:24:06","DRUGS","2014-00051756","1700 BLOCK CARLETON ST"
"09/02/2014 10:27:22","RECOVR","2014-00051778","3000 BLOCK WHEELER ST"
"09/02/2014 10:31:59","1042","2014-00051761","HASTE ST/SHATTUCK AVE"
"09/02/2014 10:34:45","WARARR","2014-00051759","2100 BLOCK M L KING JR WAY"
"09/02/2014 10:43:26","A911","2014-00051760","2000 BLOCK YOLO AVE"
"09/02/2014 10:49:52","SEC","2014-00051762","2200 BLOCK BANCROFT WAY"
"09/02/2014 10:52:00","TRFHAZ","2014-00051763","2000 BLOCK DELAWARE ST"
"09/02/2014 11:00:00","SEC","2014-00051764","200 BLOCK UNIVERSITY AVE"
