"Date-Time","Call-Incident Type","Incident No.","Address"
"07/10/2014 00:03:27","415F","2014-00040028","2300 BLOCK ACTON ST"
"07/10/2014 00:05:43","1033A","2014-00040029","3000 BLOCK CLAREMONT AVE"
"07/10/2014 00:10:08","SUSPER","2014-00040030","1700 BLOCK GRANT ST"
"07/10/2014 00:22:31","415E","2014-00040033","1900 BLOCK STUART ST"
"07/10/2014 00:23:35","211","2014-00040031","HEARST AVE/GRANT ST"
"07/10/2014 00:37:00","415E","2014-00040032","1900 BLOCK DWIGHT WAY"
"07/10/2014 00:47:17","415E","2014-00040034","2500 BLOCK HILLEGASS AVE"
"07/10/2014 00:57:20","1194B","2014-00040035","SIXTH ST/DELAWARE ST"
"07/10/2014 01:02:14","415","2014-00040037","2500 BLOCK BENVENUE AVE"
"07/10/2014 01:04:29","T","2014-00040036","UNIVERSITY AVE/SIXTH ST"
"07/10/2014 01:09:34","T","2014-00040038","SACRAMENTO ST/ASHBY AVE"
"07/10/2014 01:29:42","T","2014-00040039","6TH/ALLSTON / "
"07/10/2014 01:30:52","415E","2014-00040040","2200 BLOCK BONAR ST"
"07/10/2014 01:45:23","SEC","2014-00040041"," / "
"07/10/2014 01:48:39","415E","2014-00040050","2600 BLOCK HASTE ST"
"07/10/2014 01:50:20","T","2014-00040042","1000 BLOCK UNIVERSITY AVE"
"07/10/2014 01:56:25","459","2014-00040045","3000 BLOCK DANA ST"
"07/10/2014 01:58:02","SEC","2014-00040043","2300 BLOCK TELEGRAPH AVE"
"07/10/2014 02:01:46","1053","2014-00040044","2300 BLOCK ELLSWORTH ST"
"07/10/2014 02:07:39","A911","2014-00040051","2200 BLOCK SHATTUCK AVE"
"07/10/2014 02:15:14","SEC","2014-00040046","2500 BLOCK DURANT AVE"
"07/10/2014 02:19:07","415","2014-00040047","2100 BLOCK M L KING JR WAY"
"07/10/2014 02:23:03","FLAG","2014-00040048","1800 BLOCK SAN PABLO AVE"
"07/10/2014 02:36:48","SUSCIR","2014-00040052","BLAKE ST/SHATTUCK AVE"
"07/10/2014 02:37:35","W911","2014-00040053","600 BLOCK HILLCREST RD"
"07/10/2014 02:37:51","5150","2014-00040049","2100 BLOCK M L KING JR WAY"
"07/10/2014 03:06:52","415","2014-00040056","1400 BLOCK MILVIA ST"
"07/10/2014 03:13:41","SUSCIR","2014-00040057","2300 BLOCK PROSPECT ST"
