"Date-Time","Call-Incident Type","Incident No.","Full Address"
"11/01/2014 00:01:52","415E","2014-00065019","2000 BLOCK LINCOLN ST"
"11/01/2014 00:02:49","SUSPER","2014-00064977","1000 BLOCK CEDAR ST"
"11/01/2014 00:03:14","415E","2014-00065007","1500 BLOCK DWIGHT WAY"
"11/01/2014 00:06:53","415E","2014-00064988","BLAKE ST/ELLSWORTH ST"
"11/01/2014 00:07:37","23152","2014-00064981","FULTON ST/BANCROFT WAY"
"11/01/2014 00:17:48","415","2014-00064979","1200 BLOCK STANNAGE AVE"
"11/01/2014 00:23:59","415","2014-00064982","2200 BLOCK SHATTUCK AVE"
"11/01/2014 00:25:13","415E","2014-00065006","2400 BLOCK CARLETON ST"
"11/01/2014 00:30:02","415E","2014-00065008","HASTE ST/M L KING JR WAY"
"11/01/2014 00:30:24","415E","2014-00065018","1600 BLOCK M L KING JR WAY"
"11/01/2014 00:32:29","1196","2014-00064983","HASTE ST/BOWDITCH ST"
"11/01/2014 00:32:36","415E","2014-00065029","100 BLOCK TAMALPAIS RD"
"11/01/2014 00:34:00","1033A","2014-00065001","1500 BLOCK UNIVERSITY AVE"
"11/01/2014 00:39:32","1042","2014-00064996","1400 BLOCK CORNELL AVE"
"11/01/2014 00:40:27","415","2014-00064985","2500 BLOCK DURANT AVE"
"11/01/2014 00:42:46","242","2014-00064984","2400 BLOCK DURANT AVE"
"11/01/2014 00:48:12","1194","2014-00064986","SEAWALL DRIVE/UNIVERSITY AVE / "
"11/01/2014 00:53:09","245","2014-00064989","2600 BLOCK BANCROFT WAY"
"11/01/2014 00:56:40","415E","2014-00064994","2700 BLOCK COLLEGE AVE"
"11/01/2014 00:59:09","UNK","2014-00064990","UNIVERSITY AVE/SACRAMENTO ST"
"11/01/2014 01:04:17","242","2014-00064992","BANCROFT WAY/SHATTUCK AVE"
"11/01/2014 01:06:31","415E","2014-00065017","2000 BLOCK CHANNING WAY"
"11/01/2014 01:07:24","484","2014-00065022","2300 BLOCK TELEGRAPH AVE"
"11/01/2014 01:08:55","415","2014-00064995","JEFFERSON AVE/ALLSTON WAY"
"11/01/2014 01:09:06","1194","2014-00064991","TELEGRAPH AVE/DURANT AVE"
"11/01/2014 01:10:31","242","2014-00064993"," / "
"11/01/2014 01:19:43","415E","2014-00064997","2500 BLOCK REGENT ST"
"11/01/2014 01:22:30","23152","2014-00064999","1200 BLOCK SAN PABLO AVE"
"11/01/2014 01:23:03","415","2014-00064998","2000 BLOCK ASHBY AVE"
"11/01/2014 01:29:08","484","2014-00065000","COLLEGE AVE/DURANT AVE"
"11/01/2014 01:34:06","415E","2014-00065004","2500 BLOCK REGENT ST"
"11/01/2014 01:36:48","SUSPER","2014-00065002","2800 BLOCK DERBY ST"
"11/01/2014 01:43:33","415","2014-00065003","DURANT AVE/TELEGRAPH AVE"
"11/01/2014 01:47:49","SEC","2014-00065005","TELEGRAPH AVE/DURANT AVE"
"11/01/2014 02:00:11","1033A","2014-00065009","1600 BLOCK SHATTUCK AVE"
"11/01/2014 02:03:41","242","2014-00065012","1700 BLOCK SPRUCE ST"
"11/01/2014 02:04:33","LDRPT","2014-00065011","2100 BLOCK PRINCE ST"
"11/01/2014 02:07:48","1033A","2014-00065013","1700 BLOCK FOURTH ST"
"11/01/2014 02:15:18","484","2014-00065028","ASHBY AVE/SEVENTH ST"
"11/01/2014 02:17:49","415E","2014-00065021","2100 BLOCK KITTREDGE ST"
"11/01/2014 02:17:55","459","2014-00065014","2300 BLOCK HEARST AVE"
"11/01/2014 02:20:32","415F","2014-00065015","REGENT ST/DWIGHT WAY"
"11/01/2014 02:25:09","1194","2014-00065016","1700 BLOCK FOURTH ST"
"11/01/2014 02:51:45","SUSCIR","2014-00065023","DURANT AVE/PIEDMONT AVE"
"11/01/2014 02:56:00","415E","2014-00065032","1700 BLOCK SPRUCE ST"
"11/01/2014 03:10:00","A911","2014-00065024","1200 BLOCK UNIVERSITY AVE"
"11/01/2014 03:13:45","1053","2014-00065025","FRANKLIN ST/HEARST AVE"
"11/01/2014 03:15:58","ANIMAL","2014-00065026","HILLEGASS AVE/PARKER ST"
"11/01/2014 03:25:14","1194","2014-00065027","2400 BLOCK DURANT AVE"
"11/01/2014 03:54:58","1042","2014-00065030","BAKER ST/FAIRVIEW ST"
"11/01/2014 03:59:06","242","2014-00065031","2400 BLOCK FULTON ST"
"11/01/2014 04:07:30","1033A","2014-00065034","700 BLOCK CHANNING WAY"
"11/01/2014 04:08:46","SUSVEH","2014-00065035","RUSSELL ST/MATHEWS ST"
