"Date-Time","Call-Incident Type","Incident No.","Full Address"
"10/16/2014 00:18:36","REPO",,"1800 BLOCK ALLSTON WAY"
"10/16/2014 00:25:01","1196","2014-00061482","FULTON ST/BLAKE ST"
"10/16/2014 00:44:39","T","2014-00061483","2900 BLOCK COLLEGE AVE"
"10/16/2014 00:44:46","1033A","2014-00061485","2300 BLOCK SHATTUCK AVE"
"10/16/2014 00:55:48","1033A","2014-00061484","2300 BLOCK FOURTH ST"
"10/16/2014 00:58:27","1033A","2014-00061486","2100 BLOCK DURANT AVE"
"10/16/2014 01:23:24","1042","2014-00061487","2400 BLOCK WARRING ST"
"10/16/2014 01:54:34","NEW",,"2900 BLOCK REGENT "
"10/16/2014 01:55:10","NEW",,"2700 BLOCK DWIGHT WAY"
"10/16/2014 02:09:46","SEC","2014-00061488","800 BLOCK BOLIVAR DR"
"10/16/2014 02:12:32","SEC","2014-00061489","ADDISON ST/SECOND ST"
"10/16/2014 02:14:50","1067","2014-00061490","500 BLOCK DEL MAR AVE"
"10/16/2014 02:40:27","415","2014-00061492","700 BLOCK HARRISON ST"
"10/16/2014 02:43:35","1196","2014-00061491","DURANT AVE/SHATTUCK AVE"
"10/16/2014 03:09:26","1194","2014-00061493","KITTREDGE ST/SHATTUCK AVE"
"10/16/2014 03:19:53","5150","2014-00061494","2500 BLOCK DURANT AVE"
"10/16/2014 03:30:29","602L","2014-00061495","2500 BLOCK DURANT AVE"
"10/16/2014 05:31:15","602L","2014-00061497","2300 BLOCK BANCROFT WAY"
"10/16/2014 05:52:35","1033S","2014-00061498","900 BLOCK ARLINGTON AVE"
"10/16/2014 05:57:18","484","2014-00061499","2000 BLOCK ADDISON ST"
"10/16/2014 06:21:09","1033A","2014-00061503","100 BLOCK BROOKSIDE DR"
"10/16/2014 06:24:27","415","2014-00061500","1900 BLOCK SHATTUCK AVE"
"10/16/2014 06:46:47","459","2014-00061502","2900 BLOCK SHATTUCK AVE"
"10/16/2014 06:48:26","1194","2014-00061501","2200 BLOCK FULTON ST"
"10/16/2014 07:19:05","ADVICE","2014-00061510","2300 BLOCK BLAKE ST"
"10/16/2014 07:21:46","SEC","2014-00061506","DOWNTOWN AREA / "
"10/16/2014 07:22:43","602L","2014-00061504","2600 BLOCK SHATTUCK AVE"
"10/16/2014 07:25:02","1194","2014-00061505","MILVIA ST/DWIGHT WAY"
"10/16/2014 07:32:31","AID","2014-00061507","HASTE ST/FULTON ST"
"10/16/2014 07:37:38","10851","2014-00061508","1900 BLOCK VIRGINIA ST"
"10/16/2014 07:43:31","1194","2014-00061509","BANCROFT WAY/SHATTUCK AVE"
"10/16/2014 07:52:17","T","2014-00061511","HEARST AVE/WALNUT ST"
"10/16/2014 07:55:36","T","2014-00061512","2400 BLOCK DWIGHT WAY"
"10/16/2014 08:06:00","1198","2014-00061513","KITTREDGE ST/MILVIA ST"
"10/16/2014 08:12:29","653M","2014-00061516","500 BLOCK ARCADE AVE"
"10/16/2014 08:14:07","TRFHAZ","2014-00061514","2300 BLOCK BONAR ST"
"10/16/2014 08:15:52","1033A","2014-00061517","2300 BLOCK CALIFORNIA ST"
"10/16/2014 08:17:24","PRKVIO","2014-00061515","EIGHTH ST/DWIGHT WAY"
"10/16/2014 08:22:54","T","2014-00061518","DWIGHT WAY/CALIFORNIA ST"
"10/16/2014 08:23:13","5150","2014-00061520","SHATTUCK AVE/WOOLSEY ST"
"10/16/2014 08:23:52","T","2014-00061519","SIXTH ST/CHANNING WAY"
"10/16/2014 08:29:05","1198","2014-00061521","BANCROFT WAY/MILVIA ST"
"10/16/2014 08:33:54","FLAG","2014-00061522","2000 BLOCK DURANT AVE"
"10/16/2014 08:37:50","10851","2014-00061524","2300 BLOCK HOWE ST"
"10/16/2014 08:52:59","SEC","2014-00061525"," / "
"10/16/2014 08:54:21","242","2014-00061632","2500 BLOCK SHATTUCK AVE"
"10/16/2014 09:10:15","602L","2014-00061530","2200 BLOCK CHANNING WAY"
"10/16/2014 09:29:56","TRFHAZ","2014-00061531","SHASTA RD/TAMALPAIS RD"
