"Date-Time","Call-Incident Type","Incident No.","Full Address"
"08/15/2014 00:07:30","1033A","2014-00047742","1600 BLOCK SAN PABLO AVE"
"08/15/2014 00:07:56","415E","2014-00047741","2200 BLOCK PARKER ST"
"08/15/2014 00:10:14","T","2014-00047740","HASTE ST/SHATTUCK AVE"
"08/15/2014 00:35:49","459A","2014-00047745","2400 BLOCK PRINCE ST"
"08/15/2014 00:56:14","BMCVIO","2014-00047747","DANA ST/DERBY ST"
"08/15/2014 01:16:11","1194","2014-00047748","HILLEGASS AVE/PARKER ST"
"08/15/2014 01:33:30","1181","2014-00047749","UNIVERSITY AVE/M L KING JR WAY"
"08/15/2014 01:38:18","415","2014-00047751","3200 BLOCK CALIFORNIA ST"
"08/15/2014 01:54:18","SEC","2014-00047750","2300 BLOCK TELEGRAPH AVE"
"08/15/2014 03:27:26","T","2014-00047752","1500 BLOCK HEARST AVE"
"08/15/2014 03:29:40","459A","2014-00047753","600 BLOCK SPRUCE ST"
"08/15/2014 03:45:41","647F","2014-00047754","2100 BLOCK M L KING JR WAY"
"08/15/2014 03:58:40","ADVICE","2014-00047756","1200 BLOCK ASHBY AVE"
"08/15/2014 04:09:21","ADVICE","2014-00047755","1600 BLOCK SAN PABLO AVE"
"08/15/2014 05:37:54","415","2014-00047757","3000 BLOCK COLBY ST"
"08/15/2014 05:59:44","SUSPER","2014-00047758","3300 BLOCK ADELINE ST"
"08/15/2014 06:21:35","459A","2014-00047759","900 BLOCK CEDAR ST"
"08/15/2014 06:32:14","SUSCIR","2014-00047760","2700 BLOCK CALIFORNIA ST"
"08/15/2014 06:47:28","415","2014-00047761","1300 BLOCK HASKELL ST"
"08/15/2014 07:05:26","1148","2014-00047762","2100 BLOCK M L KING JR WAY"
"08/15/2014 07:54:15","1033A","2014-00047763","2900 BLOCK M L KING JR WAY"
"08/15/2014 08:04:11","1042","2014-00047764","2500 BLOCK HILLEGASS AVE"
"08/15/2014 08:05:13","TRFHAZ","2014-00047765","2400 BLOCK ASHBY AVE"
"08/15/2014 08:12:57","1124","2014-00047766","1300 BLOCK ROSE ST"
"08/15/2014 08:13:17","ADVICE","2014-00047768","ASHBY AVE/SAN PABLO AVE"
"08/15/2014 08:22:11","242","2014-00047767","2000 BLOCK UNIVERSITY AVE"
"08/15/2014 08:25:39","PRKVIO","2014-00047769","1700 BLOCK SAN PABLO AVE"
"08/15/2014 08:25:51","459A","2014-00047771","HASTE ST/MILVIA ST"
"08/15/2014 09:02:03","1042","2014-00047781","ADDISON ST/WEST ST"
"08/15/2014 09:03:35","PRKVIO","2014-00047770","1200 BLOCK HASKELL ST"
"08/15/2014 09:10:37","AID","2014-00047773","1400 BLOCK OLYMPUS AVE"
"08/15/2014 09:12:59","484","2014-00047774","2100 BLOCK SHATTUCK AVE"
"08/15/2014 09:13:36","T","2014-00047772","UNIVERSITY AVE/SACRAMENTO ST"
"08/15/2014 09:24:40","487","2014-00047776","3100 BLOCK CLAREMONT AVE"
"08/15/2014 09:25:39","SUSPER","2014-00047775","3000 BLOCK FULTON ST"
"08/15/2014 09:27:18","1042","2014-00047780","COLUSA AVE/TACOMA AVE"
"08/15/2014 09:44:50","484","2014-00047777","1100 BLOCK HEARST AVE"
"08/15/2014 09:45:53","BMCVIO","2014-00047798","1600 BLOCK EIGHTH ST"
"08/15/2014 09:47:28","SEC","2014-00047778","1600 BLOCK MCGEE AVE"
"08/15/2014 09:50:09","1181","2014-00047779","CARLETON ST/M L KING JR WAY"
"08/15/2014 09:54:05","1042","2014-00047788","2900 BLOCK DERBY ST"
"08/15/2014 09:54:59","415","2014-00047784","2500 BLOCK TELEGRAPH AVE"
"08/15/2014 09:57:52","1124","2014-00047782","1400 BLOCK GRANT ST"
"08/15/2014 09:59:04","484","2014-00047785","1300 BLOCK SHATTUCK AVE"
"08/15/2014 09:59:57","415","2014-00047783","2900 BLOCK COLLEGE AVE"
"08/15/2014 10:26:19","W911",,"6700 BLOCK SAN PABLO AVE"
"08/15/2014 10:28:41","LOST","2014-00047786","200 BLOCK MARINA BLVD"
"08/15/2014 10:31:56","602L","2014-00047789","2000 BLOCK SAN PABLO AVE"
"08/15/2014 10:33:31","242","2014-00047787","M L KING JR WAY/RUSSELL ST"
"08/15/2014 10:39:55","484","2014-00047794","2300 BLOCK CHANNING WAY"
"08/15/2014 10:43:18","459A","2014-00047803","PAGE ST/SEVENTH ST"
"08/15/2014 10:43:46","602L","2014-00047791","1500 BLOCK STUART ST"
"08/15/2014 10:51:56","AID","2014-00047790","2200 BLOCK GRANT ST"
"08/15/2014 10:54:53","484","2014-00047796","2800 BLOCK DERBY ST"
"08/15/2014 10:58:21","1057","2014-00047793","2400 BLOCK ASHBY AVE"
"08/15/2014 11:01:58","PRKVIO","2014-00047792","1900 BLOCK CENTER ST"
"08/15/2014 11:16:42","242","2014-00047795","2100 BLOCK M L KING JR WAY"
"08/15/2014 11:28:32","W911","2014-00047801","2800 BLOCK SEVENTH ST"
"08/15/2014 11:33:26","484","2014-00047813","100 BLOCK PARKSIDE DR"
