"Date-Time","Call-Incident Type","Incident No.","Full Address"
"09/27/2014 00:06:21","ADVICE","2014-00057234","1400 BLOCK SPRUCE ST"
"09/27/2014 00:07:48","415E","2014-00057232","2500 BLOCK PARKER ST"
"09/27/2014 00:08:31","T","2014-00057231","ELLSWORTH ST/CARLETON ST"
"09/27/2014 00:14:54","1033A","2014-00057235","2800 BLOCK WALLACE ST"
"09/27/2014 00:15:19","1196","2014-00057233","EASTSHORE HWY/JONES ST"
"09/27/2014 00:28:18","415E","2014-00057236","2400 BLOCK ASHBY AVE"
"09/27/2014 00:33:18","1194","2014-00057237","FAIRVIEW ST/ADELINE ST"
"09/27/2014 00:38:58","1033A","2014-00057239","2300 BLOCK SIXTH ST"
"09/27/2014 00:40:49","T","2014-00057238","61ST ST/M L KING JR WAY"
"09/27/2014 00:42:11","415E","2014-00057241","2400 BLOCK ELLSWORTH ST"
"09/27/2014 00:42:53","415E","2014-00057240","2300 BLOCK TELEGRAPH AVE"
"09/27/2014 00:44:26","601I","2014-00057244","2800 BLOCK MCGEE AVE"
"09/27/2014 00:52:19","SUSPER","2014-00057243","POSEN AVE/COLUSA AVE"
"09/27/2014 00:54:20","1194","2014-00057242","800 BLOCK UNIVERSITY AVE"
"09/27/2014 01:01:41","1033A","2014-00057250","2600 BLOCK ASHBY AVE"
"09/27/2014 01:05:25","415E","2014-00057245","2300 BLOCK CHANNING WAY"
"09/27/2014 01:14:26","415","2014-00057246","PARKER ST/HILLEGASS AVE"
"09/27/2014 01:21:39","1196","2014-00057247","SHATTUCK AVE/56TH ST"
"09/27/2014 01:25:21","1033A","2014-00057248","1700 BLOCK FOURTH ST"
"09/27/2014 01:28:53","415E","2014-00057249","2300 BLOCK CHANNING WAY"
"09/27/2014 01:34:37","415E","2014-00057251","2300 BLOCK PIEDMONT AVE"
"09/27/2014 01:44:21","T","2014-00057252","M L KING JR WAY/60TH ST"
"09/27/2014 01:50:26","415E","2014-00057254","2500 BLOCK BENVENUE AVE"
"09/27/2014 01:51:02","415E","2014-00057256","COLLEGE AVE/GARBER ST"
"09/27/2014 02:03:13","T","2014-00057253","UNIVERSITY AVE/W FRONTAGE RD"
"09/27/2014 02:17:38","415E","2014-00057267","1500 BLOCK OXFORD ST"
"09/27/2014 02:21:29","T","2014-00057257","UNIVERSITY AVE/M L KING JR WAY"
"09/27/2014 02:23:18","W911","2014-00057259","1900 BLOCK UNIVERSITY AVE"
"09/27/2014 02:24:31","415","2014-00057260","DELAWARE ST/SAN PABLO AVE"
"09/27/2014 02:25:31","T","2014-00057258","SHATTUCK AVE/ASHBY AVE"
"09/27/2014 02:30:08","1196","2014-00057261","1500 BLOCK UNIVERSITY AVE"
"09/27/2014 02:30:31","T","2014-00057262","ADELINE ST/OREGON ST"
"09/27/2014 02:32:17","1196","2014-00057263","BANCROFT WAY/COLLEGE AVE"
"09/27/2014 02:37:02","SEC","2014-00057264","200 BLOCK UNIVERSITY AVE"
"09/27/2014 02:40:00","T","2014-00057265","OXFORD ST/ADDISON ST"
"09/27/2014 02:40:41","1196","2014-00057266","100 BLOCK SEAWALL DR"
"09/27/2014 02:49:02","415E","2014-00057268","TENTH ST/DELAWARE ST"
"09/27/2014 02:55:30","T","2014-00057269","UNIVERSITY AVE/W FRONTAGE RD"
