"Date-Time","Call-Incident Type","Incident No.","Full Address"
"08/20/2014 00:00:58","602L","2014-00048758","2000 BLOCK BANCROFT WAY"
"08/20/2014 00:02:00","1194","2014-00048757","TELEGRAPH AVE/DURANT AVE"
"08/20/2014 00:12:19","1196","2014-00048759","SAN PABLO AVE/FRANCISCO ST"
"08/20/2014 00:18:11","415E","2014-00048760","2500 BLOCK HILLEGASS AVE"
"08/20/2014 00:23:48","1196","2014-00048761","MARSHALL ST/SIXTY-THIRD ST"
"08/20/2014 00:36:14","415E","2014-00048762","2500 BLOCK HILLEGASS AVE"
"08/20/2014 00:46:22","1196","2014-00048763","ADDISON ST/SHATTUCK AVE"
"08/20/2014 00:50:48","1033A","2014-00048766","1500 BLOCK UNIVERSITY AVE"
"08/20/2014 00:51:28","RECOVR","2014-00048765","BOLIVAR DR/ADDISON ST"
"08/20/2014 01:02:14","602L","2014-00048767","2500 BLOCK HILLEGASS AVE"
"08/20/2014 01:15:35","415E","2014-00048768","HARPER ST/PRINCE ST"
"08/20/2014 01:18:32","SEC","2014-00048769","FOURTH ST/VIRGINIA ST"
"08/20/2014 01:42:33","459","2014-00048770","2900 BLOCK DOHR ST"
"08/20/2014 01:50:45","1033A","2014-00048771","3000 BLOCK ACTON ST"
"08/20/2014 01:52:19","FALL","2014-00048772","RUSSELL ST/BENVENUE AVE"
"08/20/2014 02:18:52","T","2014-00048773","UNIVERSITY AVE/FIFTH ST"
"08/20/2014 02:31:21","5150","2014-00048774","2400 BLOCK SHATTUCK AVE"
"08/20/2014 02:33:02","415E","2014-00048775","1700 BLOCK HEARST AVE"
"08/20/2014 02:43:47","ADVICE","2014-00048777","2100 BLOCK M L KING JR WAY"
"08/20/2014 02:43:59","415","2014-00048776","DURANT AVE/ELLSWORTH ST"
"08/20/2014 02:58:38","415","2014-00048778","2400 BLOCK ASHBY AVE"
"08/20/2014 03:29:27","5150","2014-00048779","2000 BLOCK ALLSTON WAY"
"08/20/2014 03:47:33","1033A","2014-00048780","2900 BLOCK RUSSELL ST"
"08/20/2014 04:12:33","SUSCIR","2014-00048781","<UNKNOWN> / "
"08/20/2014 04:23:06","SUSCIR","2014-00048782","1900 BLOCK EL DORADO AVE"
"08/20/2014 06:14:20","415","2014-00048783","1400 BLOCK SHATTUCK AVE"
