"Date-Time","Call-Incident Type","Incident No.","Full Address"
"09/28/2014 00:00:34","T","2014-00057494","TELEGRAPH AVE/DURANT AVE"
"09/28/2014 00:10:07","1194","2014-00057497","2400 BLOCK DURANT AVE"
"09/28/2014 00:16:40","23110","2014-00057499","1800 BLOCK UNIVERSITY AVE"
"09/28/2014 00:18:10","T","2014-00057498","HASTE ST/DANA ST"
"09/28/2014 00:20:49","415","2014-00057500","3200 BLOCK ADELINE ST"
"09/28/2014 00:33:26","1196","2014-00057501","FAIRVIEW ST/ADELINE ST"
"09/28/2014 00:38:54","415","2014-00057502","2100 BLOCK SPAULDING AVE"
"09/28/2014 00:56:00","415F","2014-00057503","1200 BLOCK SAN PABLO AVE"
"09/28/2014 00:56:26","415E","2014-00057506","2500 BLOCK PIEDMONT AVE"
"09/28/2014 00:59:53","415E","2014-00057505","COLLEGE AVE/DWIGHT WAY"
"09/28/2014 01:01:40","T","2014-00057504","SHATTUCK AVE/ASHBY AVE"
"09/28/2014 01:05:22","1033A","2014-00057507","700 BLOCK POTTER ST"
"09/28/2014 01:12:54","415","2014-00057508","2300 BLOCK PIEDMONT AVE"
"09/28/2014 01:20:42","415E","2014-00057510","1300 BLOCK ALCATRAZ AVE"
"09/28/2014 01:21:09","415E","2014-00057509","2500 BLOCK PIEDMONT AVE"
"09/28/2014 01:29:43","415E","2014-00057512","1500 BLOCK TYLER ST"
"09/28/2014 01:32:58","SUSPER","2014-00057513","2100 BLOCK FIFTH ST"
"09/28/2014 01:40:35","415E","2014-00057514","2500 BLOCK DURANT AVE"
"09/28/2014 02:28:52","1042","2014-00057516","1500 BLOCK LINCOLN ST"
"09/28/2014 02:29:06","415E","2014-00057515","1100 BLOCK SPRUCE ST"
"09/28/2014 02:42:18","242","2014-00057517","SHATTUCK AVE/BANCROFT WAY"
"09/28/2014 03:36:17","REPO",,"2500 BLOCK SACRAMENTO ST"
"09/28/2014 04:02:06","415E","2014-00057519","2300 BLOCK CEDAR ST"
"09/28/2014 04:58:00","1033A","2014-00057523","3000 BLOCK ADELINE ST"
"09/28/2014 05:44:00","415","2014-00057760","BERKELEY WAY/M L KING JR WAY"
"09/28/2014 13:33:45","SUSPER","2014-00057585","1800 BLOCK RUSSELL ST"
"09/28/2014 13:45:39","1042","2014-00057521","TREMONT ST/WOOLSEY ST"
"09/28/2014 13:47:53","1057AR","2014-00057522","SHATTUCK AVE/ADDISON ST"
"09/28/2014 13:56:50","REPO",,"1700 BLOCK NINTH ST"
"09/28/2014 13:57:46","ADVICE","2014-00057586","2800 BLOCK WOOLSEY ST"
"09/28/2014 14:03:06","ANIMAL","2014-00057597","HOPKINS ST/JOSEPHINE ST"
"09/28/2014 14:23:02","459A","2014-00057594","1100 BLOCK STERLING AVE"
"09/28/2014 14:41:34","415","2014-00057593","2500 BLOCK TELEGRAPH AVE"
"09/28/2014 14:45:13","242","2014-00057587","UNIVERSITY AVE/SIXTH ST"
"09/28/2014 14:51:59","A911","2014-00010665","1300 BLOCK HASKELL ST"
"09/28/2014 14:51:59","A911","2014-00057588","1300 BLOCK HASKELL ST"
"09/28/2014 14:56:13","415F","2014-00057589","2100 BLOCK HASTE ST"
"09/28/2014 15:00:16","653M","2014-00057595","2000 BLOCK DWIGHT WAY"
"09/28/2014 15:03:18","484","2014-00057599","2100 BLOCK OXFORD ST"
"09/28/2014 15:07:04","AID","2014-00057590","555 PIERCE ST-ALBANY / "
"09/28/2014 15:09:24","SEC","2014-00057591","1600 BLOCK WOOLSEY ST"
"09/28/2014 15:10:21","484","2014-00057592","2000 BLOCK FOURTH ST"
"09/28/2014 15:22:18","BMCVIO","2014-00057596","DURANT AVE/TELEGRAPH AVE"
"09/28/2014 15:31:15","ADVICE","2014-00057660","2100 BLOCK KITTREDGE ST"
"09/28/2014 15:38:35","FLAG","2014-00057598","SHATTUCK AVE/ROSE ST"
"09/28/2014 15:48:57","602L","2014-00057600","2600 BLOCK TELEGRAPH AVE"
"09/28/2014 15:49:06","PRKVIO","2014-00057613","1800 BLOCK FAIRVIEW ST"
"09/28/2014 15:50:05","PRKVIO","2014-00057601","1600 BLOCK FIFTH ST"
"09/28/2014 15:53:57","T","2014-00057602","SAN PABLO AVE/GRAYSON ST"
"09/28/2014 15:58:09","SEC","2014-00057603","EIGHTH ST/HARRISON ST"
"09/28/2014 16:01:27","1182","2014-00057605","TELEGRAPH AVE/PARKER ST"
"09/28/2014 16:05:51","415","2014-00057607","1300 BLOCK ALCATRAZ AVE"
"09/28/2014 16:06:46","TRFHAZ","2014-00057606","SACRAMENTO ST/UNIVERSITY AVE"
"09/28/2014 16:11:43","TRFHAZ","2014-00057615","2600 BLOCK SHASTA RD"
"09/28/2014 16:15:02","T","2014-00057608","HEARST AVE/WALNUT ST"
"09/28/2014 16:17:34","647F","2014-00057611","2000 BLOCK UNIVERSITY AVE"
"09/28/2014 16:18:42","SUSCIR","2014-00057609","NINTH ST/GILMAN ST"
"09/28/2014 16:26:32","AID","2014-00057633","1500 BLOCK ARCH ST"
"09/28/2014 16:29:00","484","2014-00057610","2500 BLOCK TELEGRAPH AVE"
"09/28/2014 16:35:29","415","2014-00057612","2600 BLOCK SAN PABLO AVE"
"09/28/2014 16:52:23","1181","2014-00057614","1000 BLOCK WILDCAT CANYON RD"
"09/28/2014 16:54:19","PRKVIO",,"2500 BLOCK TELEGRAPH AVE"
"09/28/2014 17:03:52","1042","2014-00057619","SACRAMENTO ST/WARD ST"
"09/28/2014 17:04:23","484","2014-00057617","1900 BLOCK RUSSELL ST"
"09/28/2014 17:04:28","SUSVEH","2014-00057621","900 BLOCK CRAGMONT AVE"
"09/28/2014 17:05:42","415","2014-00057616","1600 BLOCK OREGON ST"
"09/28/2014 17:06:43","TRFHAZ","2014-00057620","2700 BLOCK SHASTA RD"
"09/28/2014 17:11:07","647J","2014-00057618","2300 BLOCK SHATTUCK AVE"
"09/28/2014 17:26:45","SUSCIR","2014-00057622","2300 BLOCK BANCROFT WAY"
"09/28/2014 17:44:54","415F","2014-00057623","2100 BLOCK SEVENTH ST"
"09/28/2014 17:55:50","A911","2014-00057625","1000 BLOCK UNIVERSITY AVE"
"09/28/2014 18:01:37","484","2014-00057626","2300 BLOCK TELEGRAPH AVE"
"09/28/2014 18:06:35","415","2014-00057628","1600 BLOCK DWIGHT WAY"
"09/28/2014 18:11:45","T","2014-00057627","SAN PABLO AVE/PAGE ST"
"09/28/2014 18:14:04","647J","2014-00057630","CEDAR ST/SAN PABLO AVE"
"09/28/2014 18:17:29","1194","2014-00057629","1000 BLOCK MURRAY ST"
