"Date-Time","Call-Incident Type","Incident No.","Full Address"
"10/12/2014 00:04:50","415","2014-00060674","BANCROFT WAY/TELEGRAPH AVE"
"10/12/2014 00:05:09","415E","2014-00060689","3000 BLOCK DANA ST"
"10/12/2014 00:20:07","SUSCIR","2014-00060673","M L KING JR WAY/CENTER ST"
"10/12/2014 00:22:39","415E","2014-00060690","2600 BLOCK SAN PABLO AVE"
"10/12/2014 00:45:14","415E","2014-00060693","2200 BLOCK MCKINLEY AVE"
"10/12/2014 00:47:25","5150","2014-00060677","3200 BLOCK BOISE ST"
"10/12/2014 00:51:27","1042","2014-00060679","LE ROY AVE/HEARST AVE"
"10/12/2014 00:55:01","T","2014-00060678","WEBSTER ST/TELEGRAPH AVE"
"10/12/2014 00:58:04","415E","2014-00060680","1800 BLOCK BERKELEY WAY"
"10/12/2014 00:58:29","AID","2014-00060682","2400 BLOCK DURANT AVE"
"10/12/2014 01:00:32","415E","2014-00060683","2300 BLOCK PIEDMONT AVE"
"10/12/2014 01:01:14","23103","2014-00060681","1900 BLOCK BONITA AVE"
"10/12/2014 01:02:17","415E","2014-00060697","1900 BLOCK CHANNING WAY"
"10/12/2014 01:05:17","1033A","2014-00060686","700 BLOCK POTTER ST"
"10/12/2014 01:07:53","T","2014-00060685","ASHBY AVE/SAN PABLO AVE"
"10/12/2014 01:11:00","5150","2014-00060688","M L KING JR WAY/CENTER ST"
"10/12/2014 01:19:01","415E","2014-00060687","2300 BLOCK PIEDMONT AVE"
"10/12/2014 01:40:15","415E","2014-00060694","1700 BLOCK SPRUCE ST"
"10/12/2014 01:41:58","415E","2014-00060691","DURANT AVE/COLLEGE AVE"
"10/12/2014 01:53:51","20002","2014-00060695","1500 BLOCK CHANNING WAY"
"10/12/2014 01:57:55","T","2014-00060692","VIRGINIA ST/TENTH ST"
"10/12/2014 02:02:26","T","2014-00060696","SACRAMENTO ST/PARKER ST"
"10/12/2014 02:09:44","T","2014-00060698","ACTON ST/BERKELEY WAY"
"10/12/2014 02:11:48","415","2014-00060699","900 BLOCK ASHBY AVE"
"10/12/2014 02:22:29","415","2014-00060700","2300 BLOCK SHATTUCK AVE"
"10/12/2014 02:26:00","1196","2014-00060701","SACRAMENTO ST/CEDAR ST"
"10/12/2014 02:31:24","594","2014-00060702","2100 BLOCK DURANT AVE"
"10/12/2014 02:31:41","T","2014-00060703","UNIVERSITY AVE/SHATTUCK AVE"
"10/12/2014 02:34:28","FLAG","2014-00060704","2600 BLOCK SAN PABLO AVE"
"10/12/2014 02:35:06","1196","2014-00060705","SEVENTH ST/DWIGHT WAY"
"10/12/2014 02:41:55","1194","2014-00060706","ALCATRAZ AVE/COLLEGE AVE"
"10/12/2014 02:42:08","T","2014-00060707","CEDAR ST/SHATTUCK AVE"
"10/12/2014 03:02:16","1194","2014-00060708","1700 BLOCK FOURTH ST"
"10/12/2014 03:14:27","415F","2014-00060709","2100 BLOCK SIXTH ST"
"10/12/2014 03:14:33","1033A","2014-00060710","2900 BLOCK MABEL ST"
"10/12/2014 03:55:58","1194","2014-00060711","CENTER ST/MILVIA ST"
"10/12/2014 04:01:12","1042","2014-00060712","DWIGHT WAY/DANA ST"
"10/12/2014 04:04:42","SUSCIR","2014-00060713","1600 BLOCK SAN PABLO AVE"
"10/12/2014 04:44:46","415F","2014-00060714","1300 BLOCK KAINS AVE"
"10/12/2014 04:46:25","5150","2014-00060715","BOWDITCH ST/DWIGHT WAY"
"10/12/2014 05:04:41","647J","2014-00060717","1700 BLOCK SOLANO AVE"
"10/12/2014 05:06:45","1196","2014-00060716"," / "
"10/12/2014 05:52:41","1033A","2014-00060718","3100 BLOCK COLLEGE AVE"
"10/12/2014 07:04:42","1148","2014-00060719","2100 BLOCK M L KING JR WAY"
"10/12/2014 07:07:46","300WI","2014-00060722","CONFIDENTIAL"
"10/12/2014 07:09:04","415","2014-00060720","2100 BLOCK KITTREDGE ST"
"10/12/2014 08:12:21","PRKVIO","2014-00060724","1600 BLOCK SIXTY-SECOND ST"
"10/12/2014 08:15:48","SEC","2014-00060723","SUNDAY STREETS / "
"10/12/2014 08:17:44","SEC","2014-00060725"," / "
"10/12/2014 08:28:58","602L","2014-00060728","700 BLOCK SAN MATEO RD"
"10/12/2014 08:43:35","242","2014-00060726","2400 BLOCK ELLSWORTH ST"
"10/12/2014 08:48:19","1124","2014-00060727","3000 BLOCK DEAKIN ST"
"10/12/2014 08:55:26","SUSCIR","2014-00060732","2700 BLOCK SACRAMENTO ST"
"10/12/2014 09:04:13","1033A","2014-00060729","2200 BLOCK SHATTUCK AVE"
"10/12/2014 09:06:41","5150","2014-00060730","1200 BLOCK CARLETON ST"
"10/12/2014 09:12:18","PRKVIO","2014-00060731","1600 BLOCK SAN PABLO AVE"
"10/12/2014 09:31:24","PRKVIO","2014-00060735","2200 BLOCK SHATTUCK AVE"
"10/12/2014 09:44:11","1181","2014-00060733","DANA ST/HASTE ST"
"10/12/2014 09:45:51","PRKVIO","2014-00060758","2300 BLOCK BANCROFT WAY"
"10/12/2014 09:47:08","T","2014-00060734","ASHBY AVE/SAN PABLO AVE"
"10/12/2014 09:56:07","SUSCIR","2014-00060738","2700 BLOCK ADELINE ST"
"10/12/2014 09:58:47","PRKVIO","2014-00060737","CENTER ST/SHATTUCK AVE"
"10/12/2014 10:11:32","5150","2014-00060736","MILVIA ST/LINCOLN ST"
"10/12/2014 10:15:16","1033A","2014-00060742","2700 BLOCK BANCROFT WAY"
"10/12/2014 10:18:48","5150","2014-00060740","MILVIA ST/CEDAR ST"
"10/12/2014 10:21:46","PRKVIO","2014-00060739","2300 BLOCK SHATTUCK AVE"
"10/12/2014 10:34:18","653M","2014-00060741","1700 BLOCK SIXTH ST"
"10/12/2014 11:09:28","PRKVIO","2014-00060743","1900 BLOCK SHATTUCK AVE"
"10/12/2014 11:13:42","415","2014-00060744","2100 BLOCK SHATTUCK AVE"
"10/12/2014 11:22:36","1033A","2014-00060745","400 BLOCK ARLINGTON AVE"
"10/12/2014 11:33:37","PCVIO","2014-00060746","2800 BLOCK MCGEE AVE"
"10/12/2014 11:35:37","PRKVIO","2014-00060747","3100 BLOCK COLLEGE AVE"
"10/12/2014 11:36:07","415","2014-00060750","SIXTY-SECOND ST/ADELINE ST"
"10/12/2014 11:44:39","PRKVIO","2014-00060755","3100 BLOCK ETON AVE"
"10/12/2014 11:53:47","A911","2014-00060753","2000 BLOCK ALLSTON WAY"
"10/12/2014 11:54:02","1042","2014-00060756","2800 BLOCK ADELINE ST"
"10/12/2014 11:56:49","5150","2014-00060748","GILMAN ST/EIGHTH ST"
"10/12/2014 12:01:08","5150","2014-00060749","2700 BLOCK SACRAMENTO ST"
"10/12/2014 12:04:00","10852","2014-00060752","1800 BLOCK MONTEREY AVE"
"10/12/2014 12:12:26","20002","2014-00060751","COLLEGE AVE/ASHBY AVE"
"10/12/2014 12:19:25","A911","2014-00060754","900 BLOCK UNIVERSITY AVE"
"10/12/2014 12:42:43","415","2014-00060760","1700 BLOCK FOURTH ST"
"10/12/2014 12:45:24","SEC","2014-00060757","2100 BLOCK ALLSTON WAY"
"10/12/2014 12:48:37","10851","2014-00060764","BERRYMAN ST/M L KING JR WAY"
"10/12/2014 12:48:46","T","2014-00060759","CHANNING WAY/MCKINLEY AVE"
"10/12/2014 13:04:21","5150","2014-00060763","2400 BLOCK TELEGRAPH AVE"
"10/12/2014 13:04:26","FLAG","2014-00060761","MCKINLEY AVE/ADDISON ST"
"10/12/2014 13:05:30","242","2014-00060762","BOWDITCH ST/DURANT AVE"
"10/12/2014 13:13:13","415","2014-00060770","2200 BLOCK PARKER ST"
"10/12/2014 13:15:57","SUSCIR","2014-00060766","FOURTH ST/ALLSTON WAY"
"10/12/2014 13:17:29","1053","2014-00060767","1000 BLOCK GILMAN ST"
"10/12/2014 13:17:35","SEC","2014-00060765","1800 BLOCK SOLANO AVE"
"10/12/2014 13:32:35","T","2014-00060768","SHATTUCK AVE/60TH ST"
"10/12/2014 13:36:59","PRKVIO","2014-00060773","1300 BLOCK HENRY ST"
"10/12/2014 13:59:57","1042","2014-00060771","VIRGINIA ST/OXFORD ST"
"10/12/2014 14:12:49","TRFHAZ","2014-00060777","EL CAMINO REAL /THE UPLANDS "
"10/12/2014 14:18:05","1033A","2014-00060772","2000 BLOCK SIXTH ST"
"10/12/2014 14:24:25","273 5","2014-00060783","CONFIDENTIAL"
"10/12/2014 14:30:00","459","2014-00060779","2300 BLOCK EIGHTH ST"
"10/12/2014 14:37:23","459A","2014-00060780","900 BLOCK GILMAN ST"
"10/12/2014 14:41:22","20002","2014-00060774","GILMAN ST/W FRONTAGE RD"
"10/12/2014 14:41:54","487","2014-00060810","1900 BLOCK SHATTUCK AVE"
"10/12/2014 14:43:29","1042","2014-00060776","FAIRVIEW ST/KING ST"
"10/12/2014 14:45:18","TRFHAZ","2014-00060788","ROSE ST/SHATTUCK AVE"
"10/12/2014 14:59:26","T","2014-00060778","KING ST/WOOLSEY ST"
"10/12/2014 15:04:26","SUSPER","2014-00060789","2500 BLOCK BANCROFT WAY"
"10/12/2014 15:11:37","KNOCK","2014-00060781","3200 BLOCK ELLIS ST"
