"Date-Time","Call-Incident Type","Incident No.","Full Address"
"10/11/2014 00:08:26","415E","2014-00060463","2200 BLOCK BLAKE ST"
"10/11/2014 00:09:41","T","2014-00060462","HARMON ST/SACRAMENTO ST"
"10/11/2014 00:10:11","415E","2014-00060464","2300 BLOCK CHANNING WAY"
"10/11/2014 00:15:23","AID","2014-00060465","2400 BLOCK WARRING ST"
"10/11/2014 00:18:32","415","2014-00060469","TENTH ST/PAGE ST"
"10/11/2014 00:20:06","T","2014-00060467","STUART ST/SHATTUCK AVE"
"10/11/2014 00:20:24","415E","2014-00060472"," / "
"10/11/2014 00:23:47","1194","2014-00060468","2000 BLOCK ALLSTON WAY"
"10/11/2014 00:27:47","484","2014-00060479","DURANT AVE/TELEGRAPH AVE"
"10/11/2014 00:31:45","415E","2014-00060475","2500 BLOCK DWIGHT WAY"
"10/11/2014 00:32:33","415E","2014-00060471","2600 BLOCK DWIGHT WAY"
"10/11/2014 00:33:14","1194","2014-00060498","2100 BLOCK BLAKE ST"
"10/11/2014 00:33:14","1194","2014-00060470","2100 BLOCK BLAKE ST"
"10/11/2014 00:35:28","1181","2014-00060473","MCGEE AVE/CARLETON ST"
"10/11/2014 00:43:55","602L","2014-00060474","2400 BLOCK FULTON ST"
"10/11/2014 00:49:07","SEC","2014-00060476","W FRONTAGE RD/UNIVERSITY AVE"
"10/11/2014 01:07:45","1196","2014-00060477"," / "
"10/11/2014 01:20:32","415","2014-00060485","HARMON ST/ADELINE ST"
"10/11/2014 01:20:40","1148","2014-00060481","2100 BLOCK M L KING JR WAY"
"10/11/2014 01:22:15","SEC","2014-00060482","200 BLOCK UNIVERSITY AVE"
"10/11/2014 01:22:56","1196","2014-00060483","SEAWALL DR/UNIVERSITY AVE"
"10/11/2014 01:24:14","SEC","2014-00060484","2300 BLOCK TELEGRAPH AVE"
"10/11/2014 01:38:07","1196","2014-00060486","100 BLOCK SEAWALL DR"
"10/11/2014 01:40:02","SUSCIR","2014-00060487","1600 BLOCK TYLER ST"
"10/11/2014 01:50:34","1033A","2014-00060488","2600 BLOCK TELEGRAPH AVE"
"10/11/2014 01:59:16","415E","2014-00060494","2700 BLOCK DWIGHT WAY"
"10/11/2014 02:00:06","415","2014-00060491","2300 BLOCK WARRING ST"
